あ,a,100000
い,i,110000
う,u,100100
え,e,110100
お,o,010100
か,ka,100001
き,ki,110001
く,ku,100101
け,ke,110101
こ,ko,010101
さ,sa,100011
し,si,110011
す,su,100111
せ,se,110111
そ,so,010111
た,ta,101010
ち,ti,111010
つ,tu,101110
て,te,111110
と,to,011110
な,na,101000
に,ni,111000
ぬ,nu,101100
ね,ne,111100
の,no,011100
は,ha,101001
ひ,hi,111001
ふ,hu,101101
へ,he,111101
ほ,ho,011101
ま,ma,101011
み,mi,111011
む,mu,101111
め,me,111111
も,mo,011111
や,ya,001100
ゆ,yu,001101
よ,yo,001110
ら,ra,100010
り,ri,110010
る,ru,100110
れ,re,110110
ろ,ro,010110
わ,wa,001000
ゐ,i,011000
ゑ,e,011010
を,wo,001010
ん,nn,001011
っ,xtu,010000
ー,-,010010
。,.,010011
、,",",000011
？,+/,010001
！,+1,011010
・,/,000010
濁音,,000010
半濁音,,000001
拗音,,000100
濁音＋拗音,,000110
半濁音＋拗音,,000101